Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2022-06-30,108.62911987304688,110.5731224594056,106.58063817299123,109.74845884295402,38046000
2022-07-01,108.33960723876953,109.06002666130433,106.37703963705644,107.60066073190902,31028000
2022-07-05,113.11294555664062,113.27741605898653,105.52735078631547,106.78375993547321,36398000
2022-07-06,114.43042755126953,115.5611859137045,111.48756876631111,113.31655194729665,28852000
2022-07-07,118.4950942993164,119.04731500603503,114.74872888018639,115.21951377902445,32184000
2022-07-08,119.35175323486328,119.61643670027902,116.71529223270001,116.75105064304346,29082000
2022-07-11,115.73052215576172,117.98708304067769,115.4444776257993,117.84356444687418,26718000
2022-07-12,114.06890106201172,117.04851086046862,113.83599022833464,116.04438078226042,24970000
2022-07-13,111.42449951171875,114.37431464188981,111.06297507233656,111.87343087644729,38958000
2022-07-14,110.68257141113281,111.22635079084647,108.58244122180702,110.07273862079845,32366000
2022-07-15,112.00054168701172,113.22566302710332,111.06246509935403,112.19520866227708,34330000
2022-07-18,109.16297149658203,114.019734722899,108.55711691536104,112.66897771337737,33354000
2022-07-19,113.84095764160156,114.0296611037204,109.74895758124637,110.97060089567981,30992300
2022-07-20,113.92041015625,115.53933630923396,112.49020262380105,113.2847606801528,26780100
2022-07-21,114.25810241699219,114.42694515033254,111.14937898253623,114.30775803280672,27267800
2022-07-22,107.62350463867188,112.41074399445272,106.86866804792542,111.05005281577733,44455300
2022-07-25,107.47452545166016,109.82841994073779,106.28268455297305,108.1399698271348,28289900
2022-07-26,104.72335815429688,107.00772119291918,104.04797960863033,106.69983059538612,36626600
2022-07-27,112.827880859375,113.62244644232638,107.68308803248917,108.85506809969603,41474600
2022-07-28,113.8111572265625,113.92041019069406,111.09077509027343,112.03333007032592,23303800
2022-07-29,115.84722137451172,116.10545632985595,112.46040238141096,112.62924510786948,31336200
2022-08-01,114.69511413574219,116.3239668523193,113.91048266241526,114.74476975149842,22856200
2022-08-02,115.11225891113281,116.28423905657122,113.48340617713905,113.65224891208656,17911000
2022-08-03,117.97268676757812,118.60833627340719,115.36056481635995,115.54926829064244,25302800
2022-08-04,118.06206512451172,118.68778040206465,116.90994579468722,117.49593961314318,15757700
2022-08-05,117.41649627685547,118.0521457877327,115.91675716015767,116.13526310031045,15615700
2022-08-08,117.33702850341797,120.03854249031357,117.02913792819682,118.31037099893213,17061100
2022-08-09,116.70137786865234,117.39661708876906,115.76776442089059,117.18804532273406,15424300
2022-08-10,119.82997131347656,120.95228823638466,118.54873823641901,118.77717073608471,20497000
2022-08-11,119.00562286376953,121.50849192474884,118.73746129841248,121.25026451441688,16671600
2022-08-12,121.81637573242188,121.81637573242188,119.5816685005584,120.33650506503213,16121100
2022-08-15,122.04480743408203,122.42222950263252,120.74371365680946,121.37936310353341,15525000
2022-08-16,121.67733001708984,122.39044466336478,120.70895838185088,121.48861897828559,15626200
2022-08-17,119.50221252441406,121.31977625687284,119.3830254087065,120.10806710190032,17589200
2022-08-18,120.03854370117188,120.86290420560644,118.73744988691108,119.41282839044769,15652000
2022-08-19,117.31717681884766,119.18439629962747,116.87023078620014,119.05528259821722,20187000
2022-08-22,114.28789520263672,115.70817612252117,113.89061239572106,115.31089331560553,19316000
2022-08-23,113.98992919921875,115.14204856126693,113.52313005515352,113.54299078525749,14390700
2022-08-24,113.92041015625,114.93050374532602,113.00666498155272,113.67210934285143,16051200
2022-08-25,116.90003204345703,116.97949013059649,114.2680492104395,114.3673680305937,14874700
2022-08-26,110.54352569580078,115.80749841902875,110.4640676165158,115.02286693555347,31698700
2022-08-29,109.59004211425781,111.19903409464067,109.06364560826388,110.02705396566685,20386100
